listing_id,avg_rating,neighbourhood,latitude,longitude,room_type,price,availability_365,avg_severity_level,count
2708,3.75,Hollywood,34.1,-118.35,1,75,335,2.141337386,658
5729,3.111111111,Del Rey,33.99,-118.43,1,70,358,2.204545455,88
5843,3.375,Del Rey,33.99,-118.43,0,135,97,2.204545455,88
6931,3.25,Hollywood,34.1,-118.35,1,73,344,2.141337386,658
7992,3.75,Atwater Village,34.12,-118.26,0,89,39,2.46875,64
8770,3.25,Venice,33.99,-118.46,0,122,200,2.14354067,209
9376,3,Venice,34,-118.48,1,85,333,2.380645161,155
11374,3.230769231,Gardena,33.9,-118.29,1,85,361,2.364583333,96
15089,3.5,Mid-City,34.04,-118.35,0,123,343,2.413934426,244
15333,5,Valley Village,34.17,-118.41,1,438,328,2.272727273,88
19887,3.5,Silver Lake,34.08,-118.28,1,75,365,2.302419355,248
20585,3.4375,Venice,33.98,-118.46,0,124,41,2.076086957,92
20786,3.666666667,Hollywood Hills,34.12,-118.32,0,199,53,1.876712329,73
22355,3.9,Hollywood Hills,34.12,-118.32,0,171,63,1.876712329,73
23363,3.555555556,Silver Lake,34.1,-118.26,0,110,37,2.082191781,73
23710,3.611111111,Highland Park,34.12,-118.19,0,108,59,2.419354839,155
23925,3.941176471,Venice,34,-118.47,0,294,123,2.308510638,282
23979,4.5,Hollywood Hills,34.12,-118.32,0,178,68,1.876712329,73
24349,3.916666667,Mount Washington,34.11,-118.22,0,285,315,2.0625,16
24626,4,Sawtelle,34.04,-118.45,0,370,365,2.074418605,215
25672,3.666666667,East Hollywood,34.08,-118.3,0,135,90,2.354114713,401
32963,3.722222222,Culver City,33.99,-118.44,0,175,116,2.115830116,259
33399,3.333333333,Mar Vista,34,-118.43,1,66,365,2.246753247,154
43318,3.75,Downtown,34.05,-118.24,1,46,357,2.36643026,846
44509,3.333333333,Van Nuys,34.2,-118.46,1,45,358,2.274074074,270
45392,4,Mount Washington,34.11,-118.22,1,59,365,2.0625,16
45417,3,Silver Lake,34.09,-118.28,0,135,66,2.116,250
46853,3.333333333,Silver Lake,34.09,-118.28,0,150,365,2.116,250
46858,3.428571429,Culver City,34.01,-118.41,0,275,283,2,3
50005,3.777777778,Hollywood,34.1,-118.35,0,110,44,2.141337386,658
